algorithm,label,seeds,episodes_mean,episodes_std,episodes_count,overall_mean_return_mean,overall_mean_return_std,overall_mean_return_count,final20_mean_return_mean,final20_mean_return_std,final20_mean_return_count,final100_mean_return_mean,final100_mean_return_std,final100_mean_return_count,normalized_auc_return_mean,normalized_auc_return_std,normalized_auc_return_count,solve_step_100ep_at_475_mean,solve_step_100ep_at_475_std,solve_step_100ep_at_475_count,max_return_mean,max_return_std,max_return_count
ppo,PPO,5,1514.2,10.256705123966467,5,329.34132275894495,2.337655985302999,5,491.68,12.049616176459738,5,489.8,8.361988399896287,5,412.7525733573408,1.7732546018313875,5,232616.0,8896.687923041924,5,500.0,0.0,5
ppo_per,PPO+PER,5,1627.6,28.333725487482226,5,306.5467295054746,5.332911234117751,5,492.98999999999995,11.807857553341334,5,492.35600000000005,6.802240807263434,5,419.4318001293912,4.962867349652181,5,238061.6,21699.571166269623,5,500.0,0.0,5
