seed,ppo_overall_mean_return,ppo_per_overall_mean_return,delta_per_minus_ppo_overall_mean_return,ppo_final20_mean_return,ppo_per_final20_mean_return,delta_per_minus_ppo_final20_mean_return,ppo_final100_mean_return,ppo_per_final100_mean_return,delta_per_minus_ppo_final100_mean_return,ppo_normalized_auc_return,ppo_per_normalized_auc_return,delta_per_minus_ppo_normalized_auc_return,ppo_solve_step_100ep_at_475,ppo_per_solve_step_100ep_at_475,delta_per_minus_ppo_solve_step_100ep_at_475
1,330.5374420145792,312.21151439299126,-18.325927621587937,500.0,500.0,0.0,496.77,496.33,-0.4399999999999977,414.5017005105039,414.8233538580055,0.3216533475015808,243588.0,273224.0,29636.0
2,331.55644090305447,305.18359853121177,-26.372842371842694,500.0,472.75,-27.25,497.82,493.09,-4.730000000000018,413.6860397541405,418.3040434480975,4.618003693957007,225732.0,244592.0,18860.0
3,325.427545691906,309.8807453416149,-15.546800350291107,473.65,500.0,26.350000000000023,477.84,498.75,20.910000000000025,409.93890920104747,427.6948516639165,17.75594246286903,227444.0,227424.0,-20.0
4,329.78902116402116,298.2822966507177,-31.50672451330348,500.0,492.2,-7.800000000000011,491.38,481.05,-10.329999999999984,412.21743134137097,416.66170822208534,4.444276880714369,240952.0,220404.0,-20548.0
5,329.396164021164,307.17549261083747,-22.22067141032653,484.75,500.0,15.25,485.19,492.56,7.3700000000000045,413.4187859796409,419.6750434548512,6.256257475210305,225364.0,224664.0,-700.0
