global_step,episodic_return,algorithm,seed,run_dir
56,14.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
64,16.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
76,19.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
144,17.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
168,28.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
172,27.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
220,12.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
240,24.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
268,25.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
272,13.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
288,72.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
308,17.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
340,18.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
344,14.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
352,20.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
388,20.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
392,12.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
444,23.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
452,16.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
492,12.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
520,45.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
544,38.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
552,15.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
556,26.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
608,14.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
616,18.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
668,13.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
684,41.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
724,42.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
752,21.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
768,21.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
824,14.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
836,57.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
872,30.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
896,18.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
900,16.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
996,68.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1000,32.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1004,27.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1040,35.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1100,24.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1120,30.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1124,32.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1136,24.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1172,12.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1184,21.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1228,11.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1256,34.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1260,22.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1272,34.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1276,12.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1316,14.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1324,17.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1336,15.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1360,11.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1424,25.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1428,39.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1432,24.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1464,26.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1468,11.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1524,24.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1528,15.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1544,20.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1584,15.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1596,17.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1620,47.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1644,12.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1696,13.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1736,29.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1736,38.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1740,11.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1816,20.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1840,25.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1860,31.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1924,21.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1952,102.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
1968,27.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2004,13.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2048,31.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2056,13.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2068,25.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2084,67.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2140,23.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2176,30.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2180,28.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2212,32.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2216,10.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2220,20.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2252,18.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2276,15.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2312,15.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2356,36.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2400,22.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2432,53.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2460,26.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2472,18.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2508,58.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2516,21.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2564,23.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2568,13.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2596,34.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2616,27.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2660,11.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2660,23.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2664,25.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2708,12.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2728,16.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2748,10.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2764,42.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2768,27.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2808,20.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2836,18.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2872,16.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2896,32.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2960,53.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
2964,32.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3016,14.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3016,30.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3084,17.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3108,23.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3148,69.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3152,17.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3176,53.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3248,25.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3276,25.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3332,56.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3352,19.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3364,29.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3388,59.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3436,26.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3444,20.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3520,19.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3524,22.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3544,39.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3576,14.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3584,58.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3600,14.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3684,40.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3724,35.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3744,36.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3792,17.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3864,18.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3880,76.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3932,17.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3964,70.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3988,61.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
3992,15.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4028,16.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4076,21.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4088,25.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4100,55.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4136,27.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4164,16.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4200,28.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4224,37.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4256,14.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4300,19.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4420,41.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4448,71.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4456,80.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4480,15.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4496,49.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4588,35.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4612,33.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4616,40.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4736,30.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4748,40.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4756,65.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4820,18.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4868,28.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4900,72.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
4964,36.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5000,25.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5024,72.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5096,57.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5144,36.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5220,64.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5220,49.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5260,29.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5376,70.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5380,40.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5404,36.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5476,24.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5496,69.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5560,39.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5584,52.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5668,48.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5672,44.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5844,44.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5892,77.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
5900,57.0,ppo,2,runs\CartPole-v1__ppo__2__1784437811
