global_step,episodic_return,algorithm,seed,run_dir
68,17.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
80,20.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
124,14.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
148,37.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
156,19.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
172,12.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
176,44.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
216,11.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
248,25.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
256,25.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
276,25.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
292,11.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
300,21.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
304,12.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
328,13.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
344,10.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
360,17.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
400,18.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
416,29.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
420,19.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
456,14.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
508,37.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
576,40.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
584,19.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
600,36.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
628,52.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
640,14.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
652,19.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
664,16.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
696,17.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
728,16.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
744,23.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
784,36.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
804,15.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
820,31.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
864,15.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
868,35.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
888,17.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
924,35.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
936,18.0,ppo_per,4,runs\CartPole-v1__ppo_per__4__1784434962
