global_step,episodic_return,algorithm,seed,run_dir
48,12.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
80,20.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
108,15.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
160,40.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
172,16.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
188,27.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
208,52.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
216,14.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
276,26.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
276,17.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
292,19.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
312,31.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
360,17.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
420,36.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
420,15.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
436,40.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
448,34.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
472,13.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
496,19.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
516,20.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
528,20.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
560,16.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
580,27.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
580,13.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
580,16.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
616,14.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
640,15.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
640,15.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
660,11.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
672,23.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
712,10.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
724,21.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
728,17.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
744,26.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
776,13.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
788,15.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
792,12.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
836,12.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
836,31.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
884,27.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
928,11.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
952,29.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
968,44.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
972,11.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
992,10.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
1008,43.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
1044,18.0,ppo,5,runs\CartPole-v1__ppo__5__1784519874
