global_step,episodic_return,algorithm,seed,run_dir
60,15.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
92,23.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
96,24.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
144,21.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
152,14.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
156,16.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
192,48.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
248,14.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
252,25.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
260,26.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
264,30.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
340,20.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
344,20.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
360,28.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
368,29.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
392,13.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
404,11.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
436,23.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
460,17.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
500,24.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
520,15.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
568,12.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
568,17.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
572,51.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
600,41.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
640,18.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
664,23.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
696,24.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
704,16.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
736,18.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
752,14.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
772,17.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
792,56.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
808,14.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
852,11.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
856,16.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
864,32.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
900,32.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
932,20.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
964,25.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
980,12.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1000,25.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1056,23.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1088,27.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1140,13.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1148,23.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1180,45.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1184,11.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1208,88.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1224,19.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1224,10.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1272,12.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1272,16.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1300,19.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1324,13.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1332,15.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1360,45.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1364,10.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1372,10.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1392,23.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1400,9.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1464,26.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
1464,16.0,ppo,3,runs\CartPole-v1__ppo__3__1784439702
