global_step,episodic_return,algorithm,seed,run_dir
48,12.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
80,20.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
108,15.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
160,40.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
172,16.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
188,27.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
208,52.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
216,14.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
276,26.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
276,17.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
292,19.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
312,31.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
360,17.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
420,36.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
420,15.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
436,40.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
448,34.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
472,13.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
496,19.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
516,20.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
528,20.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
560,16.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
580,27.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
580,13.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
580,16.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
616,14.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
640,15.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
640,15.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
660,11.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
672,23.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
712,10.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
724,21.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
728,17.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
744,26.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
776,13.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
788,15.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
792,12.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
836,12.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
836,31.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
884,27.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
928,11.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
952,29.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
968,44.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
972,11.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
992,10.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1008,43.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1044,18.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1048,20.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1060,17.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1108,25.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1116,18.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1140,23.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1208,37.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1228,30.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1248,10.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1248,27.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1272,39.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1292,16.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1292,11.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1320,18.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1328,14.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1368,19.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1400,18.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1416,31.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1432,16.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1472,18.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1476,11.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1480,40.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1504,22.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1536,16.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1552,19.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1556,13.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1596,11.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1608,18.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1744,34.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1744,47.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1760,41.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1768,72.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
1792,12.0,ppo_prioritized_replay_ablation,5,runs\CartPole-v1__ppo_prioritized_replay_ablation__5__1784632367
