global_step,episodic_return,algorithm,seed,run_dir
52,13.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
56,14.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
76,19.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
92,9.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
96,24.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
132,14.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
160,27.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
180,22.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
200,26.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
208,12.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
220,10.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
220,22.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
260,10.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
304,24.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
304,21.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
340,35.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
344,21.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
372,17.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
392,22.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
392,12.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
424,13.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
448,14.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
464,18.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
500,19.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
500,40.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
540,19.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
544,24.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
560,15.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
588,12.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
640,13.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
644,25.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
648,22.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
688,10.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
736,23.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
768,67.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
776,22.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
796,39.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
800,16.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
860,21.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
868,25.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
880,20.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
908,28.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
932,16.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
996,34.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1004,24.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1032,25.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1072,19.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1104,56.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1124,30.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1128,24.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1152,20.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1184,20.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1204,20.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1248,16.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1252,12.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1260,27.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1272,36.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1300,12.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1320,12.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1324,16.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1364,11.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1384,15.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1388,22.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1436,47.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1464,20.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1464,25.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1556,23.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1560,24.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1616,15.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1616,14.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1620,46.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1664,69.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1664,12.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1668,13.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1744,19.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1748,32.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1768,26.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1780,29.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1820,13.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1824,20.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1884,16.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1884,26.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
1960,53.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2000,10.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2008,31.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2012,47.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2024,35.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2060,13.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2076,19.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2112,22.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2144,33.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2168,14.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2204,15.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2212,11.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2284,52.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2356,38.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2364,38.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2364,76.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2400,11.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
2404,10.0,ppo_prioritized_replay_ablation,1,runs\CartPole-v1__ppo_prioritized_replay_ablation__1__1784602550
