Wall time,Step,Value
1784278142.1639802,63,49.0
1784278142.5921278,99,26.0
1784278142.597111,134,20.0
1784278142.5981078,145,11.0
1784278142.6020951,183,13.0
1784278142.6090717,238,12.0
1784278142.6120613,252,14.0
1784278142.6160486,274,22.0
1784278142.6170464,290,16.0
1784278142.6190403,301,11.0
1784278142.6200366,314,13.0
1784278142.62203,338,24.0
1784278142.6240232,358,20.0
1784278142.627013,380,22.0
1784278142.6280096,395,15.0
1784278142.6300027,421,26.0
1784278142.6319962,446,25.0
1784278142.6349866,480,34.0
1784278142.6369798,502,22.0
1784278142.6389737,520,18.0
1784278142.6479423,584,64.0
1784278142.6549325,652,16.0
1784278142.6649036,697,14.0
1784278142.668891,717,20.0
1784278142.6698868,728,11.0
1784278142.671878,753,25.0
1784278142.677862,766,13.0
1784278142.6848366,788,9.0
1784278142.6894825,852,26.0
1784278142.6924856,864,12.0
1784278142.6994488,912,13.0
1784278142.7104113,979,67.0
1784278142.7124264,1002,23.0
1784278142.7173965,1026,24.0
1784278142.7202501,1041,15.0
1784278142.7272255,1056,15.0
1784278142.732209,1083,12.0
1784278142.7352004,1105,22.0
1784278142.750151,1147,18.0
1784278142.751146,1160,13.0
1784278142.7541366,1176,16.0
1784278142.7571266,1198,22.0
1784278142.7660966,1220,22.0
1784278142.7710788,1238,18.0
1784278142.7740698,1268,13.0
1784278142.7790525,1289,21.0
1784278142.7810457,1302,13.0
1784278142.7830446,1312,10.0
1784278142.7890203,1327,15.0
1784278142.796993,1354,27.0
1784278142.7999825,1377,23.0
1784278142.8069773,1405,28.0
1784278142.8109481,1428,23.0
1784278142.8130665,1438,10.0
1784278142.815048,1456,18.0
1784278142.8210268,1512,19.0
1784278142.828003,1553,41.0
1784278142.8299987,1566,13.0
1784278142.8379683,1609,43.0
1784278142.850925,1641,15.0
1784278142.8539166,1655,14.0
1784278142.8559098,1676,21.0
1784278142.856906,1697,21.0
1784278142.8618898,1738,18.0
1784278142.8698635,1775,37.0
1784278142.8718565,1808,20.0
1784278142.8782434,1831,23.0
1784278142.881743,1844,13.0
1784278142.8877215,1894,50.0
1784278142.8966928,1931,37.0
1784278142.8976903,1941,10.0
1784278142.902671,1969,13.0
1784278142.9066577,1993,24.0
1784278142.9116414,2018,25.0
1784278142.9166248,2034,16.0
1784278142.9331615,2082,21.0
1784278142.9376717,2096,14.0
1784278142.9463177,2135,23.0
1784278142.947315,2145,10.0
1784278142.9495523,2159,14.0
1784278142.9560385,2192,33.0
1784278142.964011,2223,31.0
1784278142.9689958,2243,20.0
1784278142.9709883,2264,21.0
1784278142.9769683,2281,17.0
1784278142.9819515,2318,16.0
1784278142.982947,2334,16.0
1784278142.984944,2346,12.0
1784278142.9899251,2357,11.0
1784278142.9949093,2393,18.0
1784278142.9998925,2430,37.0
1784278143.0028853,2442,12.0
1784278143.010854,2511,69.0
1784278143.0128498,2531,20.0
1784278143.0258074,2567,36.0
1784278143.03079,2584,17.0
1784278143.0327826,2613,29.0
1784278143.0357726,2633,20.0
1784278143.0507262,2677,12.0
1784278143.0547087,2726,49.0
1784278143.0616853,2765,39.0
1784278143.0676663,2801,36.0
1784278143.068663,2813,12.0
1784278143.0806234,2839,14.0
1784278143.084608,2866,27.0
1784278143.1045413,2962,39.0
1784278143.1115186,2977,15.0
1784278143.1254969,3029,37.0
1784278143.1293235,3047,18.0
1784278143.132313,3108,36.0
1784278143.1454484,3163,34.0
1784278143.1504326,3187,24.0
1784278143.1524298,3209,22.0
1784278143.1633894,3248,39.0
1784278143.1643853,3263,15.0
1784278143.168372,3283,20.0
