Wall time,Step,Value
1784282143.606882,86,48.0
1784282143.6838696,175,61.0
1784282143.6878421,218,16.0
1784282143.6892965,233,15.0
1784282143.6922796,257,11.0
1784282143.6942832,296,20.0
1784282143.6972659,330,34.0
1784282143.6992583,339,9.0
1784282143.7042415,372,33.0
1784282143.705237,382,10.0
1784282143.7062328,395,13.0
1784282143.7072294,405,10.0
1784282143.7092226,420,15.0
1784282143.7112298,441,21.0
1784282143.7132106,469,28.0
1784282143.7162004,486,17.0
1784282143.719189,514,28.0
1784282143.7221835,559,45.0
1784282143.7241733,576,17.0
1784282143.7261667,613,37.0
1784282143.729158,627,14.0
1784282143.7331438,662,16.0
1784282143.7391238,707,15.0
1784282143.7411177,723,16.0
1784282143.7421138,743,20.0
1784282143.7441075,759,16.0
1784282143.7480927,780,21.0
1784282143.751084,820,24.0
1784282143.7570717,868,20.0
1784282143.7600539,885,17.0
1784282143.7660346,964,62.0
1784282143.7690237,1000,36.0
1784282143.7710178,1031,31.0
1784282143.7730103,1053,22.0
1784282143.7750037,1082,29.0
1784282143.7760007,1093,11.0
1784282143.7809844,1134,11.0
1784282143.7859747,1183,49.0
1784282143.793941,1264,19.0
1784282143.7949457,1277,13.0
1784282143.795947,1299,22.0
1784282143.7979274,1309,10.0
1784282143.800931,1332,23.0
1784282143.807845,1406,26.0
1784282143.8123536,1448,42.0
1784282143.813337,1457,9.0
1784282143.8173378,1474,17.0
1784282143.8223073,1535,61.0
1784282143.8243017,1552,17.0
1784282143.826294,1569,17.0
1784282143.8272917,1589,20.0
1784282143.8302941,1612,23.0
1784282143.8312771,1622,10.0
1784282143.8382537,1672,14.0
1784282143.8392508,1685,13.0
1784282143.8402474,1700,15.0
1784282143.8452306,1729,29.0
1784282143.849217,1774,25.0
1784282143.8512201,1791,17.0
1784282143.852207,1805,14.0
1784282143.8542123,1823,18.0
1784282143.8661597,1898,37.0
1784282143.868154,1919,21.0
1784282143.8721406,1961,21.0
1784282143.8741338,1972,11.0
1784282143.8771322,1994,22.0
1784282143.8791168,2013,19.0
1784282143.8831027,2046,33.0
1784282143.8860953,2057,11.0
1784282143.8950713,2140,31.0
1784282143.8960612,2153,13.0
1784282143.8980534,2173,20.0
1784282143.8990517,2183,10.0
1784282143.9070244,2242,47.0
1784282143.909018,2257,15.0
1784282143.9120069,2278,10.0
1784282143.9179873,2293,15.0
1784282143.9209774,2310,17.0
1784282143.9259608,2324,14.0
1784282143.9299464,2350,26.0
1784282143.9369118,2379,29.0
1784282143.9418929,2392,13.0
1784282143.9458807,2408,16.0
1784282143.9558592,2457,20.0
1784282143.9594789,2476,19.0
1784282143.9711006,2545,28.0
1784282143.9730992,2572,13.0
1784282143.9750917,2586,14.0
1784282143.9760883,2598,12.0
1784282143.979079,2617,19.0
1784282143.982069,2637,20.0
1784282143.9870596,2663,26.0
1784282143.990042,2694,31.0
1784282143.994029,2716,10.0
1784282143.9950254,2733,17.0
1784282143.997019,2749,16.0
1784282144.0000095,2778,29.0
1784282144.0039954,2828,50.0
1784282144.0089781,2873,25.0
1784282144.010973,2888,15.0
1784282144.027926,2969,27.0
1784282144.0299168,2979,10.0
1784282144.0328994,3002,10.0
1784282144.036885,3019,17.0
1784282144.0438638,3048,13.0
1784282144.0518348,3075,12.0
1784282144.0548365,3110,35.0
1784282144.0568194,3123,13.0
1784282144.0628111,3170,47.0
1784282144.066786,3181,11.0
1784282144.0687916,3194,13.0
1784282144.0787456,3264,35.0
1784282144.0817358,3275,11.0
1784282144.08373,3288,13.0
1784282144.0857222,3297,9.0
1784282144.0956883,3388,76.0
1784282144.0966861,3398,10.0
1784282144.1016676,3423,25.0
1784282144.1096425,3462,22.0
1784282144.1106498,3482,20.0
1784282144.1116476,3494,12.0
1784282144.1196089,3531,23.0
1784282144.1265929,3580,49.0
1784282144.1325772,3617,25.0
1784282144.1335626,3629,12.0
1784282144.148512,3732,69.0
1784282144.1527138,3759,27.0
1784282144.157764,3779,20.0
1784282144.1742828,3851,14.0
1784282144.1762853,3877,26.0
1784282144.183254,3893,16.0
1784282144.1882374,3932,15.0
1784282144.1892343,3949,17.0
1784282144.1932206,3974,25.0
1784282144.19621,4005,31.0
1784282144.2041838,4027,9.0
1784282144.2064395,4042,15.0
1784282144.2084327,4059,17.0
1784282144.214723,4082,23.0
1784282144.2187095,4100,18.0
1784282144.2215116,4112,12.0
1784282144.2274828,4132,20.0
1784282144.2294767,4157,25.0
1784282144.233464,4181,24.0
1784282144.2424326,4229,36.0
1784282144.245423,4243,14.0
1784282144.255388,4311,13.0
1784282144.2713354,4400,15.0
1784282144.272333,4414,14.0
1784282144.2763193,4440,15.0
1784282144.2783222,4458,18.0
1784282144.2813122,4479,21.0
1784282144.287283,4502,10.0
1784282144.2892764,4519,17.0
1784282144.297249,4553,34.0
1784282144.302233,4579,26.0
1784282144.3052216,4619,40.0
1784282144.31522,4668,21.0
1784282144.3172219,4679,11.0
1784282144.3201733,4695,16.0
1784282144.3231723,4712,17.0
1784282144.334127,4764,23.0
1784282144.3371158,4789,25.0
1784282144.3411014,4812,23.0
1784282144.3440928,4841,29.0
1784282144.3460855,4852,11.0
1784282144.3510695,4871,19.0
1784282144.3590424,4919,19.0
1784282144.3620331,4940,21.0
1784282144.3660188,4972,32.0
1784282144.3769836,5023,14.0
1784282144.3789763,5041,18.0
1784282144.3809693,5059,18.0
1784282144.381967,5073,14.0
1784282144.385954,5095,22.0
1784282144.3909457,5122,27.0
1784282144.3939264,5139,17.0
1784282144.4068828,5209,33.0
1784282144.4088757,5221,12.0
1784282144.4208367,5258,18.0
1784282144.427835,5278,20.0
1784282144.4318454,5316,38.0
1784282144.4408104,5346,15.0
1784282144.4447572,5361,15.0
1784282144.449739,5372,11.0
1784282144.457712,5384,12.0
1784282144.4672234,5409,25.0
1784282144.4707804,5423,14.0
1784282144.4787102,5460,37.0
1784282144.48465,5474,14.0
1784282144.488637,5498,24.0
1784282144.491626,5510,12.0
1784282144.4956212,5534,24.0
1784282144.499277,5545,11.0
1784282144.5122097,5598,22.0
1784282144.5151966,5609,11.0
1784282144.5221827,5628,19.0
1784282144.527158,5647,19.0
1784282144.53613,5676,16.0
1784282144.540115,5709,11.0
1784282144.5490854,5743,13.0
1784282144.5600493,5788,27.0
1784282144.573007,5836,24.0
1784282144.580977,5872,36.0
1784282144.5849645,5884,12.0
1784282144.5909445,5910,26.0
1784282144.5939353,5927,17.0
1784282144.6009097,5957,13.0
1784282144.6049323,5971,14.0
1784282144.6098816,5987,16.0
1784282144.6138685,6004,17.0
1784282144.616867,6019,15.0
1784282144.6218414,6038,19.0
1784282144.6258397,6048,10.0
1784282144.6398127,6118,70.0
1784282144.679649,6300,22.0
1784282144.6846828,6343,27.0
1784282144.6906116,6369,26.0
1784282144.7065587,6424,9.0
1784282144.7115743,6439,15.0
1784282144.7125883,6451,12.0
1784282144.7215083,6495,44.0
1784282144.7264986,6516,21.0
1784282144.7294912,6534,18.0
1784282144.7344775,6546,12.0
1784282144.7424366,6576,30.0
1784282144.745429,6589,13.0
1784282144.752403,6603,14.0
1784282144.7563903,6616,13.0
1784282144.7733457,6699,37.0
1784282144.781306,6749,50.0
1784282144.786291,6789,24.0
1784282144.8042316,6877,14.0
1784282144.8082902,6897,20.0
1784282144.814781,6943,31.0
1784282144.8207593,6973,30.0
1784282144.8247712,6994,21.0
1784282144.8297312,7021,27.0
1784282144.8327215,7036,15.0
1784282144.8377044,7063,27.0
1784282144.8416908,7077,14.0
1784282144.843685,7088,11.0
1784282144.8476794,7104,16.0
1784282144.8526542,7140,36.0
1784282144.8576388,7166,26.0
1784282144.8626285,7180,14.0
1784282144.864615,7191,11.0
1784282144.8735843,7218,14.0
1784282144.875578,7230,12.0
1784282144.8825552,7267,18.0
1784282144.891524,7309,17.0
1784282144.900495,7353,15.0
1784282144.9104702,7404,14.0
1784282144.9114652,7414,10.0
1784282144.915452,7432,18.0
1784282144.9184425,7445,13.0
1784282144.9254189,7468,23.0
1784282144.9284146,7483,15.0
1784282144.9323983,7497,14.0
1784282144.9383786,7523,26.0
1784282144.9433615,7545,22.0
1784282144.9483416,7571,26.0
1784282144.9543145,7594,23.0
1784282144.9602942,7609,15.0
1784282144.9642808,7633,24.0
1784282144.9682686,7648,15.0
1784282144.9702606,7662,14.0
1784282144.980737,7701,39.0
1784282144.9926968,7741,14.0
1784282144.9946892,7756,15.0
1784282144.9986768,7775,19.0
1784282145.0046566,7803,28.0
1784282145.011641,7850,47.0
1784282145.0166173,7864,14.0
1784282145.0226054,7894,30.0
1784282145.0265825,7909,15.0
1784282145.0345576,7947,38.0
1784282145.0405455,7982,35.0
1784282145.0425298,8007,25.0
1784282145.0475123,8021,14.0
1784282145.0524952,8037,16.0
1784282145.0585117,8067,16.0
1784282145.063494,8091,24.0
1784282145.0784092,8151,17.0
1784282145.0833943,8169,18.0
1784282145.090369,8199,30.0
1784282145.092362,8210,11.0
1784282145.0973456,8245,35.0
1784282145.1023285,8267,22.0
1784282145.1033254,8278,11.0
1784282145.1142886,8324,34.0
1784282145.1242578,8377,53.0
1784282145.133227,8407,14.0
1784282145.1392055,8426,19.0
1784282145.1431918,8447,21.0
1784282145.1441886,8460,13.0
1784282145.148175,8480,20.0
1784282145.1581419,8537,21.0
1784282145.159139,8549,12.0
1784282145.1611338,8561,12.0
1784282145.1770804,8638,77.0
1784282145.1908865,8724,22.0
1784282145.1978683,8746,11.0
1784282145.2038436,8760,14.0
1784282145.2134552,8816,18.0
1784282145.2199445,8838,22.0
1784282145.223291,8855,17.0
1784282145.2342527,8887,20.0
1784282145.2372444,8902,15.0
1784282145.2492044,8970,23.0
1784282145.2611663,9017,17.0
1784282145.2681541,9039,22.0
1784282145.2820945,9092,13.0
1784282145.287077,9116,24.0
1784282145.290068,9135,19.0
1784282145.3070223,9211,14.0
1784282145.312001,9235,24.0
1784282145.3149924,9246,11.0
1784282145.31598,9254,8.0
1784282145.319977,9269,15.0
1784282145.3229647,9279,10.0
1784282145.336911,9341,47.0
1784282145.3458886,9370,14.0
1784282145.3518682,9409,17.0
1784282145.3628235,9456,25.0
1784282145.3779235,9535,11.0
1784282145.3861406,9586,51.0
1784282145.394115,9617,13.0
1784282145.4000976,9628,11.0
1784282145.4038393,9644,16.0
1784282145.4068542,9654,10.0
1784282145.4088464,9667,13.0
1784282145.4158204,9691,11.0
1784282145.422643,9711,20.0
1784282145.427625,9758,47.0
1784282145.433598,9785,27.0
1784282145.4375918,9795,10.0
1784282145.4435742,9812,17.0
1784282145.4475527,9826,14.0
1784282145.4615037,9879,53.0
1784282145.469478,9908,29.0
1784282145.474461,9931,23.0
1784282145.4814384,9946,15.0
1784282145.4864216,9959,13.0
1784282145.492401,9998,11.0
1784282145.6198518,10022,24.0
1784282145.6288297,10039,17.0
1784282145.6480958,10077,38.0
1784282145.6640866,10106,29.0
1784282145.6760068,10124,18.0
1784282145.6859806,10141,17.0
1784282145.7029173,10171,30.0
1784282145.708898,10185,14.0
1784282145.7168713,10200,15.0
1784282145.7338147,10222,22.0
1784282145.7427838,10240,18.0
1784282145.7537477,10257,17.0
1784282145.7684915,10274,17.0
1784282145.7934134,10316,42.0
1784282145.8003905,10328,12.0
1784282145.8108335,10346,18.0
1784282145.8195465,10368,22.0
1784282145.85781,10440,13.0
1784282145.8705094,10458,18.0
1784282145.938283,10579,62.0
1784282145.9582245,10608,15.0
1784282145.9741752,10639,31.0
1784282145.9821372,10648,9.0
1784282146.0010726,10668,20.0
1784282146.0190542,10689,21.0
1784282146.0299745,10699,10.0
1784282146.0479152,10722,12.0
1784282146.054893,10732,10.0
1784282146.076828,10775,43.0
1784282146.1087196,10827,17.0
1784282146.1166937,10846,19.0
1784282146.1425989,10891,18.0
1784282146.1725106,10940,12.0
1784282146.1834636,10957,17.0
1784282146.1884532,10967,10.0
1784282146.1944294,10980,13.0
1784282146.204863,10994,14.0
1784282146.2559981,11095,101.0
1784282146.2709482,11122,27.0
1784282146.282918,11142,20.0
1784282146.3018515,11173,31.0
1784282146.3148117,11203,30.0
1784282146.3367283,11242,21.0
1784282146.3417187,11255,13.0
1784282146.3467033,11266,11.0
1784282146.3546774,11278,12.0
1784282146.3775985,11322,44.0
1784282146.3865607,11337,15.0
1784282146.395534,11354,17.0
1784282146.4429202,11449,24.0
1784282146.4518912,11463,14.0
1784282146.4638414,11486,23.0
1784282146.5236506,11597,32.0
1784282146.5515585,11643,10.0
1784282146.5615273,11663,20.0
1784282146.5674963,11676,13.0
1784282146.578468,11696,20.0
1784282146.5964065,11732,36.0
1784282146.610364,11765,33.0
1784282146.6203198,11788,23.0
1784282146.6272962,11799,11.0
1784282146.6372638,11815,16.0
1784282146.6492229,11831,16.0
1784282146.6601958,11851,20.0
1784282146.6651776,11863,12.0
1784282146.6731503,11875,12.0
1784282146.6781342,11887,12.0
1784282146.706041,11941,54.0
1784282146.7120242,11956,15.0
1784282146.7229836,11976,20.0
1784282146.7409282,12005,15.0
1784282146.746896,12018,13.0
1784282146.7628427,12048,30.0
1784282146.781779,12087,27.0
1784282146.7967296,12109,10.0
1784282146.8163013,12146,17.0
1784282146.8242724,12162,16.0
1784282146.835232,12183,21.0
1784282146.8501847,12214,14.0
1784282146.855166,12229,15.0
1784282146.8770967,12273,44.0
1784282146.8810787,12286,13.0
1784282146.9000168,12318,32.0
1784282146.907992,12331,13.0
1784282146.913973,12345,14.0
1784282146.9199479,12360,15.0
1784282146.930904,12374,14.0
1784282146.9398813,12396,22.0
1784282146.9488466,12416,20.0
1784282146.9618003,12441,25.0
1784282146.9737694,12466,16.0
1784282146.9947014,12504,38.0
1784282147.007655,12532,28.0
1784282147.0136387,12550,18.0
1784282147.0255876,12561,11.0
1784282147.0325642,12573,12.0
1784282147.0405374,12584,11.0
1784282147.047515,12595,11.0
1784282147.0784125,12655,60.0
1784282147.1083186,12723,68.0
1784282147.116302,12737,14.0
1784282147.133235,12773,36.0
1784282147.1402118,12788,15.0
1784282147.1511757,12808,20.0
1784282147.1641366,12830,12.0
1784282147.1721056,12847,17.0
1784282147.1790845,12857,10.0
1784282147.1905496,12878,10.0
1784282147.1995497,12899,21.0
1784282147.2085197,12910,11.0
1784282147.2171667,12922,12.0
1784282147.2299862,12956,17.0
1784282147.2409484,12977,21.0
1784282147.2499208,12998,21.0
1784282147.2588882,13012,14.0
1784282147.2708418,13036,24.0
1784282147.283798,13064,28.0
1784282147.2907825,13075,11.0
1784282147.3087232,13110,11.0
1784282147.327659,13150,21.0
1784282147.3396194,13172,22.0
1784282147.3446035,13188,16.0
1784282147.3735054,13241,11.0
1784282147.3984149,13297,15.0
1784282147.410375,13313,16.0
1784282147.4163547,13325,12.0
1784282147.4213452,13339,14.0
1784282147.433298,13354,15.0
1784282147.4423203,13372,18.0
1784282147.4473035,13386,14.0
1784282147.4592633,13403,17.0
1784282147.4861834,13457,11.0
1784282147.4931498,13470,13.0
1784282147.4991295,13481,11.0
1784282147.5061135,13493,12.0
1784282147.5290375,13542,19.0
1784282147.5360053,13558,16.0
1784282147.5429943,13573,15.0
1784282147.5699003,13629,18.0
1784282147.5788627,13643,14.0
1784282147.5858393,13653,10.0
1784282147.5928295,13665,12.0
1784282147.6037884,13684,19.0
1784282147.60877,13697,13.0
1784282147.6197343,13712,15.0
1784282147.6267025,13734,22.0
1784282147.6326938,13747,13.0
1784282147.6426492,13767,20.0
1784282147.653621,13784,17.0
1784282147.6596057,13796,12.0
1784282147.6665719,13810,14.0
1784282147.6745505,13826,16.0
1784282147.686511,13855,29.0
1784282147.6986291,13884,29.0
1784282147.7385235,13968,25.0
1784282147.7453883,13979,11.0
