Wall time,Step,Value
1784257830.8095012,41,28.0
1784257830.814166,98,47.0
1784257830.8171623,131,11.0
1784257830.820153,171,40.0
1784257830.825136,218,16.0
1784257830.9224262,267,24.0
1784257830.927421,320,53.0
1784257830.9294097,342,22.0
1784257830.9304056,360,18.0
1784257830.9333882,387,27.0
1784257830.9343958,407,20.0
1784257830.9373837,442,35.0
1784257830.9393678,459,17.0
1784257830.9403648,469,10.0
1784257830.9424262,496,27.0
1784257830.9454403,511,15.0
1784257830.9474182,526,15.0
1784257830.949378,551,25.0
1784257830.9504387,566,15.0
1784257830.9523973,590,24.0
1784257830.953367,601,11.0
1784257830.9583166,636,13.0
1784257830.9652913,694,18.0
1784257830.9672837,708,14.0
1784257830.970267,730,22.0
1784257830.97226,746,16.0
1784257830.9782503,798,52.0
1784257830.9822369,859,26.0
1784257830.9882176,902,12.0
1784257830.9902062,926,24.0
1784257830.9951923,992,46.0
1784257830.9971833,1015,23.0
1784257831.000178,1033,18.0
1784257831.001172,1045,12.0
1784257831.003156,1059,14.0
1784257831.0041525,1073,14.0
1784257831.0091357,1123,26.0
1784257831.0111287,1141,18.0
1784257831.0151231,1177,26.0
1784257831.0161195,1195,18.0
1784257831.020099,1242,47.0
1784257831.026088,1303,61.0
1784257831.0280802,1329,26.0
1784257831.0320587,1360,31.0
1784257831.0370421,1398,11.0
1784257831.0380497,1415,17.0
1784257831.0400326,1431,16.0
1784257831.0420258,1454,23.0
1784257831.0440297,1480,26.0
1784257831.0450158,1491,11.0
1784257831.0470188,1508,17.0
1784257831.0499997,1525,17.0
1784257831.051004,1543,18.0
1784257831.0539944,1560,17.0
1784257831.056974,1586,26.0
1784257831.059975,1622,22.0
1784257831.0619667,1642,20.0
1784257831.0629637,1663,21.0
1784257831.0649498,1676,13.0
1784257831.0679386,1709,14.0
1784257831.0699322,1723,14.0
1784257831.0739188,1762,39.0
1784257831.0759232,1774,12.0
1784257831.081893,1844,23.0
1784257831.0858788,1871,27.0
1784257831.090861,1926,25.0
1784257831.0928636,1955,29.0
1784257831.0938637,1970,15.0
1784257831.097839,1984,14.0
1784257831.103193,2002,18.0
1784257831.1061673,2018,16.0
1784257831.1141398,2114,35.0
1784257831.1181264,2128,14.0
1784257831.1191254,2149,21.0
1784257831.1231098,2161,12.0
1784257831.1350696,2228,34.0
1784257831.1390572,2252,24.0
1784257831.149023,2327,49.0
1784257831.1500204,2337,10.0
1784257831.1530104,2358,21.0
1784257831.1540065,2372,14.0
1784257831.1609838,2418,46.0
1784257831.1629763,2428,10.0
1784257831.1699538,2467,39.0
1784257831.1719465,2492,25.0
1784257831.1769297,2534,28.0
1784257831.1779263,2547,13.0
1784257831.1799197,2578,31.0
1784257831.1839051,2611,33.0
1784257831.1918805,2670,44.0
1784257831.193873,2685,15.0
1784257831.1988566,2710,25.0
1784257831.2038403,2753,43.0
1784257831.2078269,2789,36.0
1784257831.2098186,2802,13.0
1784257831.2159193,2837,35.0
1784257831.217913,2848,11.0
1784257831.2199059,2859,11.0
1784257831.2255552,2889,19.0
1784257831.2275474,2899,10.0
1784257831.2305374,2921,22.0
1784257831.233526,2934,13.0
1784257831.2395077,2983,49.0
1784257831.250471,3074,73.0
1784257831.255453,3102,28.0
1784257831.2644327,3164,18.0
1784257831.265433,3182,18.0
1784257831.2694156,3212,12.0
1784257831.2713995,3233,21.0
1784257831.277381,3274,26.0
1784257831.2883441,3325,33.0
1784257831.2943244,3362,37.0
1784257831.2993088,3379,17.0
1784257831.3022985,3392,13.0
1784257831.3072805,3409,17.0
1784257831.312265,3427,18.0
1784257831.3182435,3452,11.0
1784257831.3202374,3478,26.0
1784257831.3262181,3504,26.0
1784257831.3282118,3520,16.0
1784257831.3381853,3564,18.0
1784257831.3421745,3577,13.0
1784257831.343172,3590,13.0
1784257831.3511343,3619,10.0
1784257831.3571143,3663,44.0
1784257831.3591082,3676,13.0
1784257831.3650885,3721,23.0
1784257831.37007,3746,25.0
1784257831.3770478,3783,10.0
1784257831.3780448,3793,10.0
1784257831.3880103,3842,29.0
1784257831.391003,3865,23.0
1784257831.3939905,3889,24.0
1784257831.4009676,3918,12.0
1784257831.4019637,3931,13.0
1784257831.404954,3959,28.0
1784257831.4069474,3976,8.0
1784257831.4089715,3992,16.0
1784257831.4119313,4006,14.0
1784257831.4159195,4032,26.0
1784257831.425884,4078,21.0
1784257831.4328625,4099,21.0
1784257831.4368486,4120,21.0
1784257831.4418333,4142,22.0
1784257831.4448206,4153,11.0
1784257831.4498053,4183,30.0
1784257831.4547882,4208,25.0
1784257831.4617653,4232,24.0
1784257831.4667485,4277,45.0
1784257831.4737256,4317,25.0
1784257831.4787083,4345,28.0
1784257831.4896708,4392,19.0
1784257831.5106049,4500,23.0
1784257831.5165808,4530,30.0
1784257831.5240238,4582,21.0
1784257831.5250218,4592,10.0
1784257831.533993,4623,31.0
1784257831.5519443,4665,22.0
1784257831.5569258,4682,17.0
1784257831.563904,4703,21.0
1784257831.567891,4720,17.0
1784257831.5708797,4729,9.0
1784257831.5838375,4804,29.0
1784257831.5878246,4819,15.0
1784257831.5918105,4840,21.0
1784257831.5948012,4855,15.0
1784257831.6067593,4887,14.0
1784257831.608761,4905,18.0
1784257831.6157298,4927,22.0
1784257831.622706,4961,34.0
1784257831.6276884,4977,16.0
1784257831.6346664,5037,60.0
1784257831.6366606,5051,14.0
1784257831.6512756,5095,27.0
1784257831.6542635,5108,13.0
1784257831.6612532,5149,41.0
1784257831.6682246,5186,21.0
1784257831.6712165,5202,16.0
1784257831.6801765,5262,60.0
1784257831.6841633,5290,28.0
1784257831.6901546,5319,29.0
1784257831.6971204,5350,31.0
1784257831.7011068,5367,17.0
1784257831.7130682,5421,31.0
1784257831.71506,5438,17.0
1784257831.7250278,5462,14.0
1784257831.7330003,5476,14.0
1784257831.7389803,5506,30.0
1784257831.7509394,5534,18.0
1784257831.7529328,5545,11.0
1784257831.755925,5562,17.0
1784257831.7579176,5575,13.0
1784257831.7638965,5599,24.0
1784257831.7718787,5649,50.0
1784257831.7758574,5665,16.0
1784257831.7808402,5682,17.0
1784257831.7828333,5697,15.0
1784257831.7878175,5716,19.0
1784257831.7937965,5728,12.0
1784257831.7987802,5745,17.0
1784257831.8148823,5826,28.0
1784257831.8233674,5877,51.0
1784257831.8273542,5897,20.0
1784257831.8293478,5907,10.0
1784257831.8452935,5987,15.0
1784257831.8492887,6016,29.0
1784257831.850289,6027,11.0
1784257831.8562572,6058,18.0
1784257831.864242,6092,17.0
1784257831.8722334,6128,16.0
1784257831.8772097,6147,19.0
1784257831.8822002,6170,23.0
1784257831.8861876,6190,20.0
1784257831.888182,6201,11.0
1784257831.8971422,6262,33.0
1784257831.9001412,6289,27.0
1784257831.9021342,6299,10.0
1784257831.9101107,6333,34.0
1784257831.913098,6358,25.0
1784257831.916091,6372,14.0
1784257831.9190784,6391,19.0
1784257831.9250498,6424,33.0
1784257831.9390123,6494,9.0
1784257831.9429982,6517,13.0
1784257831.9459786,6531,14.0
1784257831.9579396,6599,23.0
1784257831.9639199,6612,13.0
1784257831.9708972,6638,26.0
1784257831.9798675,6680,42.0
1784257831.9838524,6698,18.0
1784257831.9878516,6711,13.0
1784257831.9938295,6740,29.0
1784257832.0067868,6830,90.0
1784257832.0087802,6842,12.0
1784257832.0097775,6853,11.0
1784257832.011759,6863,10.0
1784257832.023727,6914,13.0
1784257832.027708,6929,15.0
1784257832.0336854,6971,42.0
1784257832.0366862,6988,17.0
1784257832.0376804,7001,13.0
1784257832.0446491,7037,22.0
1784257832.0506372,7068,31.0
1784257832.055621,7106,26.0
1784257832.0606048,7121,15.0
1784257832.066587,7139,18.0
1784257832.07157,7167,28.0
1784257832.0745583,7185,18.0
1784257832.0855207,7239,54.0
1784257832.0905087,7265,26.0
1784257832.0934932,7278,13.0
1784257832.0974805,7297,19.0
1784257832.1034598,7346,49.0
1784257832.1114259,7398,52.0
1784257832.118403,7422,24.0
1784257832.122389,7440,18.0
1784257832.1323562,7468,13.0
1784257832.1383364,7494,26.0
1784257832.1473057,7526,11.0
1784257832.158271,7568,14.0
1784257832.1702287,7606,27.0
1784257832.1832182,7665,13.0
1784257832.1931517,7699,34.0
1784257832.197139,7719,20.0
1784257832.200129,7729,10.0
1784257832.2081032,7756,27.0
1784257832.21423,7782,26.0
1784257832.220193,7805,23.0
1784257832.225672,7824,19.0
1784257832.230655,7842,18.0
1784257832.2346396,7857,15.0
1784257832.2377982,7869,12.0
1784257832.241013,7885,16.0
1784257832.2449841,7902,17.0
1784257832.2529564,7921,19.0
1784257832.2579405,7939,18.0
1784257832.2649155,7975,36.0
1784257832.2728894,8011,36.0
1784257832.277874,8021,10.0
1784257832.282857,8037,16.0
1784257832.2858481,8051,14.0
1784257832.2958257,8087,36.0
1784257832.301793,8105,18.0
1784257832.3087692,8139,34.0
1784257832.315839,8162,23.0
1784257832.3198,8179,17.0
1784257832.3277197,8194,15.0
1784257832.3297305,8204,10.0
1784257832.3357134,8221,17.0
1784257832.3456633,8254,33.0
1784257832.356639,8307,53.0
1784257832.369567,8336,15.0
1784257832.3725576,8346,10.0
1784257832.3875058,8404,42.0
1784257832.3914945,8418,14.0
1784257832.3994672,8444,26.0
1784257832.4064436,8465,21.0
1784257832.4134195,8486,21.0
1784257832.420397,8515,29.0
1784257832.4253795,8527,12.0
1784257832.4333532,8564,18.0
1784257832.4373405,8578,14.0
1784257832.4492998,8633,28.0
1784257832.4562764,8661,28.0
1784257832.4622562,8673,12.0
1784257832.4652543,8685,12.0
1784257832.4712265,8710,25.0
1784257832.480196,8748,14.0
1784257832.4871807,8771,23.0
1784257832.4931612,8792,21.0
1784257832.5001304,8814,22.0
1784257832.5129087,8868,16.0
1784257832.5248759,8902,13.0
1784257832.5324528,8930,28.0
1784257832.5494125,8999,19.0
1784257832.5633566,9042,43.0
1784257832.5694153,9060,18.0
1784257832.580368,9107,23.0
1784257832.5853531,9123,16.0
1784257832.5992727,9165,17.0
1784257832.611197,9203,11.0
1784257832.6151836,9218,15.0
1784257832.619181,9239,21.0
1784257832.6291363,9274,19.0
1784257832.635584,9289,15.0
1784257832.6415644,9307,18.0
1784257832.6575122,9368,17.0
1784257832.663491,9385,17.0
1784257832.6694713,9397,12.0
1784257832.675463,9417,20.0
1784257832.6804347,9438,21.0
1784257832.6821945,9446,8.0
1784257832.6968367,9493,15.0
1784257832.7076275,9534,20.0
1784257832.72423,9577,23.0
1784257832.7345603,9617,19.0
1784257832.7601569,9725,70.0
1784257832.7681303,9743,18.0
1784257832.7771006,9779,16.0
1784257832.7800908,9790,11.0
1784257832.7830813,9801,11.0
1784257832.7910545,9840,39.0
1784257832.7980304,9865,25.0
1784257832.8095748,9902,27.0
1784257832.8155599,9929,27.0
1784257832.8195474,9939,10.0
1784257832.8354936,9998,59.0
1784257832.8404758,10009,11.0
1784257833.0010774,10021,12.0
1784257833.0100856,10039,18.0
1784257833.0249927,10051,12.0
1784257833.037533,10066,15.0
1784257833.0514863,10083,17.0
1784257833.061453,10094,11.0
1784257833.0873659,10122,28.0
1784257833.1092923,10150,14.0
1784257833.1232464,10167,17.0
1784257833.1322157,10179,12.0
1784257833.1489518,10195,16.0
1784257833.1658945,10214,19.0
1784257833.179848,10232,18.0
1784257833.187822,10243,11.0
1784257833.1977887,10260,17.0
1784257833.2107446,10271,11.0
1784257833.2215064,10287,16.0
1784257833.237457,10304,17.0
1784257833.2444353,10319,15.0
1784257833.2534053,10329,10.0
1784257833.264368,10340,11.0
1784257833.2803154,10353,13.0
1784257833.2923002,10367,14.0
1784257833.312314,10388,21.0
1784257833.326147,10399,11.0
1784257833.3470354,10412,13.0
1784257833.3869011,10455,15.0
1784257833.418795,10478,23.0
1784257833.517465,10561,26.0
1784257833.5493584,10591,15.0
1784257833.5852776,10625,34.0
1784257833.6032174,10642,17.0
1784257833.6231506,10667,25.0
1784257833.6341138,10677,10.0
1784257833.6440809,10690,13.0
1784257833.7387643,10727,12.0
1784257833.8129525,10737,10.0
1784257833.8737078,10747,10.0
1784257834.051472,10797,18.0
1784257834.3632278,10840,43.0
1784257834.8223443,10874,16.0
1784257835.4712677,10978,13.0
1784257835.555983,10990,12.0
1784257835.6377106,11008,18.0
1784257835.6785746,11031,23.0
1784257835.781232,11045,14.0
1784257835.9038796,11055,10.0
1784257836.0294983,11083,28.0
1784257836.0972729,11096,13.0
1784257836.25704,11112,16.0
1784257836.3427548,11122,10.0
1784257836.5281343,11161,22.0
1784257836.6287985,11198,37.0
1784257836.790259,11225,27.0
1784257836.8147044,11237,12.0
1784257836.8645382,11265,28.0
1784257836.9103818,11292,27.0
1784257836.9651997,11330,38.0
1784257837.0339694,11362,19.0
1784257837.067856,11387,25.0
1784257837.087789,11397,10.0
1784257837.1426058,11418,21.0
1784257837.4011288,11576,68.0
1784257837.4808617,11628,33.0
1784257837.5044618,11642,14.0
1784257837.5204072,11653,11.0
1784257837.5503087,11674,21.0
1784257837.6076348,11709,35.0
1784257837.684091,11749,40.0
1784257837.69904,11759,10.0
1784257837.7159836,11769,10.0
1784257837.766335,11791,22.0
1784257837.802215,11808,17.0
1784257837.881264,11863,55.0
1784257837.9032273,11888,25.0
1784257837.9210424,11900,12.0
1784257837.9426684,11913,13.0
1784257837.96559,11928,15.0
1784257837.982534,11939,11.0
1784257838.018509,11955,16.0
1784257838.060227,11989,19.0
1784257838.085361,12010,21.0
1784257838.1062913,12024,14.0
1784257838.1707456,12082,19.0
1784257838.2094016,12119,22.0
1784257838.2282352,12132,13.0
1784257838.2429504,12144,12.0
1784257838.2678783,12165,21.0
1784257838.2817245,12179,14.0
1784257838.3244343,12211,12.0
1784257838.338387,12229,18.0
1784257838.3493521,12239,10.0
1784257838.3662934,12250,11.0
1784257838.386356,12261,11.0
1784257838.40031,12275,14.0
1784257838.411956,12286,11.0
1784257838.4269052,12299,13.0
1784257838.4402437,12309,10.0
1784257838.4598927,12324,15.0
1784257838.4738455,12339,15.0
1784257838.5097268,12363,24.0
1784257838.5390975,12388,10.0
1784257838.564013,12406,18.0
1784257838.5859408,12422,16.0
1784257838.6004643,12431,9.0
1784257838.6252017,12449,18.0
1784257838.6677508,12472,23.0
1784257838.6879098,12490,18.0
1784257838.71781,12505,15.0
1784257838.7377434,12519,14.0
1784257838.7646012,12537,18.0
1784257838.7802148,12546,9.0
1784257838.7981534,12558,12.0
1784257838.83514,12586,28.0
1784257838.8570752,12602,16.0
1784257838.8809965,12628,10.0
1784257838.9009297,12644,16.0
1784257838.9288359,12665,21.0
1784257838.9786694,12703,23.0
1784257839.0066166,12728,25.0
1784257839.0192356,12740,12.0
1784257839.041164,12756,16.0
1784257839.0820267,12792,16.0
1784257839.1029572,12811,19.0
1784257839.1159139,12830,19.0
1784257839.1378412,12849,19.0
1784257839.1508706,12859,10.0
1784257839.1627567,12870,11.0
1784257839.171739,12878,8.0
1784257839.2016337,12904,15.0
1784257839.2330868,12937,20.0
1784257839.2410688,12947,10.0
1784257839.2520244,12956,9.0
1784257839.3019292,13003,24.0
1784257839.3536825,13059,11.0
1784257839.37561,13074,15.0
1784257839.3905606,13087,13.0
1784257839.404512,13099,12.0
1784257839.4413893,13123,24.0
1784257839.453349,13134,11.0
1784257839.4663062,13145,11.0
1784257839.4912238,13163,18.0
1784257839.533095,13199,11.0
1784257839.5699599,13222,23.0
1784257839.5859067,13234,12.0
1784257839.6028492,13245,11.0
1784257839.6457064,13279,15.0
1784257839.6716201,13291,12.0
1784257839.6895607,13306,15.0
1784257839.741388,13350,27.0
1784257839.765307,13362,12.0
1784257839.778264,13375,13.0
1784257839.7981968,13400,25.0
1784257839.817132,13409,9.0
1784257839.8506973,13432,23.0
1784257839.8676398,13444,12.0
1784257839.893554,13463,19.0
1784257839.9503284,13504,41.0
1784257839.9832165,13523,19.0
1784257840.0001588,13536,13.0
1784257840.027073,13558,22.0
1784257840.0549784,13572,14.0
1784257840.0759065,13584,12.0
1784257840.1202185,13622,38.0
1784257840.1451473,13642,20.0
1784257840.1940491,13682,13.0
1784257840.23446,13718,36.0
1784257840.2918167,13762,16.0
1784257840.3084536,13778,16.0
1784257840.334,13791,13.0
1784257840.3479536,13803,12.0
1784257840.3648982,13817,14.0
1784257840.3938005,13839,22.0
1784257840.4166896,13852,13.0
1784257840.4316845,13866,14.0
1784257840.4522405,13882,16.0
1784257840.47018,13898,16.0
1784257840.5050628,13929,31.0
1784257840.56024,13959,20.0
1784257840.5730474,13968,9.0
1784257840.612688,13998,30.0
1784257840.6455643,14014,16.0
1784257840.6734705,14031,17.0
1784257840.7003806,14053,22.0
1784257840.7164395,14063,10.0
1784257840.7457454,14089,26.0
1784257840.7716587,14101,12.0
1784257840.8204906,14140,39.0
1784257840.8563704,14164,24.0
1784257840.9161708,14202,38.0
1784257840.9371011,14212,10.0
1784257840.9859366,14249,37.0
1784257841.0138528,14266,17.0
1784257841.0427551,14290,24.0
1784257841.068676,14301,11.0
1784257841.0856123,14316,15.0
1784257841.111525,14338,22.0
1784257841.1240928,14350,12.0
1784257841.1868968,14396,23.0
1784257841.2311158,14427,19.0
1784257841.275466,14458,18.0
1784257841.3509371,14511,14.0
1784257841.3808372,14535,24.0
1784257841.421702,14561,26.0
1784257841.4675465,14596,35.0
1784257841.4844913,14610,14.0
1784257841.5223649,14636,26.0
1784257841.5463524,14659,23.0
1784257841.5962157,14695,36.0
1784257841.617147,14710,15.0
1784257841.641096,14728,18.0
1784257841.662993,14745,17.0
1784257841.6769464,14755,10.0
1784257841.6918964,14767,12.0
1784257841.7786176,14837,13.0
1784257841.8145902,14862,25.0
1784257841.8669646,14907,45.0
1784257841.9395995,14962,36.0
1784257842.002389,15013,51.0
1784257842.0740867,15072,59.0
1784257842.1010273,15094,22.0
1784257842.1328971,15124,30.0
1784257842.1616912,15149,25.0
1784257842.2297397,15202,53.0
1784257842.2516665,15221,19.0
1784257842.2637997,15236,15.0
1784257842.3545754,15312,15.0
1784257842.3675318,15325,13.0
1784257842.3964407,15348,23.0
1784257842.4343085,15371,23.0
1784257842.4602225,15395,24.0
1784257842.5450535,15462,15.0
1784257842.5699763,15488,26.0
1784257842.5938227,15505,17.0
1784257842.6326945,15533,28.0
1784257842.6775427,15568,35.0
1784257842.701429,15584,16.0
1784257842.7373097,15613,29.0
1784257842.8080752,15677,64.0
1784257842.8445716,15702,25.0
1784257842.87051,15723,21.0
1784257842.899409,15748,25.0
1784257842.9571848,15798,50.0
1784257842.997088,15825,27.0
1784257843.103697,15910,85.0
1784257843.194392,15976,46.0
1784257843.2595763,16031,55.0
1784257843.2715538,16046,15.0
1784257843.2954645,16062,16.0
1784257843.3588073,16111,49.0
1784257843.3727605,16130,19.0
1784257843.408641,16158,28.0
1784257843.4564817,16193,35.0
1784257843.5193093,16241,19.0
1784257843.5452404,16266,25.0
1784257843.596014,16309,16.0
1784257843.6159482,16327,18.0
1784257843.642376,16349,22.0
1784257843.6971922,16394,45.0
1784257843.7480233,16433,39.0
1784257843.7968588,16480,47.0
1784257843.9141426,16570,38.0
1784257843.9784245,16618,48.0
1784257844.0252335,16656,38.0
1784257844.1158702,16742,86.0
1784257844.1348052,16760,18.0
1784257844.1706846,16784,24.0
1784257844.2004516,16809,25.0
1784257844.2367392,16832,23.0
1784257844.3583393,16924,65.0
1784257844.3962243,16955,31.0
1784257844.4187768,16972,17.0
1784257844.474174,17012,40.0
1784257844.5140474,17046,34.0
1784257844.5559332,17079,33.0
1784257844.59776,17107,28.0
1784257844.622676,17127,20.0
1784257844.658542,17154,27.0
1784257844.6980894,17188,34.0
1784257844.7469265,17229,28.0
1784257844.8203053,17293,64.0
1784257844.8615513,17329,36.0
1784257844.9411938,17389,60.0
1784257844.9849966,17419,30.0
1784257845.0268881,17451,32.0
1784257845.0907125,17503,52.0
1784257845.1275206,17539,36.0
1784257845.1793482,17590,51.0
1784257845.2404585,17631,41.0
1784257845.2663715,17656,25.0
1784257845.303283,17683,27.0
1784257845.346113,17720,23.0
1784257845.4158726,17776,37.0
1784257845.4328153,17790,14.0
1784257845.4716864,17821,31.0
1784257845.505573,17847,26.0
1784257845.5803869,17904,57.0
1784257845.6211896,17939,35.0
1784257845.7617152,18052,79.0
1784257845.8081415,18094,42.0
1784257845.9006784,18173,79.0
1784257846.0777519,18327,154.0
1784257846.1065717,18355,28.0
1784257846.1245115,18373,18.0
1784257846.2659705,18502,32.0
1784257846.349726,18571,45.0
1784257846.403511,18620,49.0
