Wall time,Step,Value
1784176525.1385121,38,10.0
1784176525.1444638,85,36.0
1784176525.1484876,114,16.0
1784176525.149473,131,17.0
1784176525.1515107,150,19.0
1784176525.154498,187,37.0
1784176525.1604145,229,15.0
1784176525.1634018,242,13.0
1784176525.165396,265,23.0
1784176525.1673887,275,10.0
1784176525.1703868,304,29.0
1784176525.1723804,322,18.0
1784176525.1743739,333,11.0
1784176525.176359,344,11.0
1784176525.17936,390,46.0
1784176525.1813514,401,11.0
1784176525.1843472,433,32.0
1784176525.188052,480,47.0
1784176525.190056,496,16.0
1784176525.1920495,522,26.0
1784176525.1950288,556,34.0
1784176525.1980195,572,16.0
1784176525.2030022,613,22.0
1784176525.2877512,664,12.0
1784176525.2897816,681,17.0
1784176525.2907445,694,13.0
1784176525.2927847,724,30.0
1784176525.2937648,740,16.0
1784176525.3016725,804,12.0
1784176525.306655,864,47.0
1784176525.3076599,881,17.0
1784176525.3106406,918,37.0
1784176525.3186276,959,17.0
1784176525.3216128,982,23.0
1784176525.3246067,1014,32.0
1784176525.3265884,1040,26.0
1784176525.3325686,1065,25.0
1784176525.336563,1085,20.0
1784176525.3405426,1109,11.0
1784176525.344528,1123,14.0
1784176525.3544958,1150,15.0
1784176525.3644626,1181,31.0
1784176525.3674533,1207,26.0
1784176525.3684494,1219,12.0
1784176525.3704498,1234,15.0
1784176525.372435,1247,13.0
1784176525.3814156,1293,34.0
1784176525.3834062,1317,24.0
1784176525.3853917,1327,10.0
1784176525.388395,1342,15.0
1784176525.3893876,1355,13.0
1784176525.3923688,1371,16.0
1784176525.3963556,1384,13.0
1784176525.4023352,1421,37.0
1784176525.4083152,1452,31.0
1784176525.4142954,1480,28.0
1784176525.4192884,1517,37.0
1784176525.4242623,1551,14.0
1784176525.4272528,1584,33.0
1784176525.4282508,1597,13.0
1784176525.4322352,1616,19.0
1784176525.4412134,1664,33.0
1784176525.449179,1685,21.0
1784176525.4511728,1699,14.0
1784176525.4541624,1741,42.0
1784176525.4581602,1780,22.0
1784176525.4621363,1805,25.0
1784176525.4661217,1828,12.0
1784176525.4681156,1849,21.0
1784176525.4721024,1864,15.0
1784176525.480076,1903,39.0
1784176525.4860559,1935,32.0
1784176525.4880488,1951,16.0
1784176525.49713,1989,21.0
1784176525.501129,2024,35.0
1784176525.5041065,2037,13.0
1784176525.5051076,2049,12.0
1784176525.5090997,2083,14.0
1784176525.5110846,2102,19.0
1784176525.5220544,2142,15.0
1784176525.5230436,2155,13.0
1784176525.5280273,2191,36.0
1784176525.5300195,2205,14.0
1784176525.532013,2219,14.0
1784176525.534006,2239,20.0
1784176525.53899,2276,37.0
1784176525.548957,2305,29.0
1784176525.5569298,2364,17.0
1784176525.55992,2376,12.0
1784176525.5659008,2435,59.0
1784176525.5718822,2481,46.0
1784176525.578858,2521,22.0
1784176525.5828433,2544,23.0
1784176525.5838397,2555,11.0
1784176525.5858412,2579,24.0
1784176525.5878265,2588,9.0
1784176525.590819,2604,16.0
1784176525.5928094,2616,12.0
1784176525.5958016,2639,23.0
1784176525.5997872,2655,16.0
1784176525.6117554,2714,47.0
1784176525.6187239,2743,29.0
1784176525.6257086,2805,62.0
1784176525.626697,2816,11.0
1784176525.631689,2851,35.0
1784176525.64066,2879,17.0
1784176525.644638,2903,24.0
1784176525.6576028,2980,32.0
1784176525.6595955,3006,26.0
1784176525.6735399,3070,35.0
1784176525.6745467,3086,16.0
1784176525.6825097,3117,21.0
1784176525.6914873,3155,21.0
1784176525.6934836,3176,21.0
1784176525.7014506,3202,26.0
1784176525.704444,3220,18.0
1784176525.7084358,3253,33.0
1784176525.70942,3267,14.0
1784176525.7233822,3344,38.0
1784176525.7273605,3364,20.0
1784176525.7303505,3379,15.0
1784176525.7363305,3411,32.0
1784176525.7533174,3477,49.0
1784176525.7572594,3489,12.0
1784176525.7652361,3527,38.0
1784176525.772223,3566,25.0
1784176525.7752051,3596,30.0
1784176525.7821777,3615,19.0
1784176525.7901502,3663,27.0
1784176525.7951353,3676,13.0
1784176525.8031073,3706,19.0
1784176525.8090942,3743,37.0
1784176525.826042,3827,44.0
1784176525.8280232,3852,25.0
1784176525.8300247,3870,18.0
1784176525.8350086,3915,27.0
1784176525.8389864,3931,16.0
1784176525.8419776,3953,22.0
1784176525.8589303,4027,30.0
1784176525.8619106,4048,21.0
1784176525.8668938,4067,19.0
1784176525.869883,4085,18.0
1784176525.8898184,4159,14.0
1784176525.893814,4181,22.0
1784176525.898787,4211,30.0
1784176525.9027731,4238,27.0
1784176525.9057734,4268,30.0
1784176525.9097586,4285,17.0
1784176525.9137378,4309,24.0
1784176525.916727,4322,13.0
1784176525.920713,4348,26.0
1784176525.927691,4401,23.0
1784176525.93367,4434,33.0
1784176525.9446778,4469,13.0
