Wall time,Step,Value
1784188989.7538283,28,29.0
1784188989.7548335,38,10.0
1784188989.7558258,49,11.0
1784188989.756831,85,36.0
1784188989.7587981,98,13.0
1784188989.7598112,114,16.0
1784188989.7608097,131,17.0
1784188989.761787,150,19.0
1784188989.7638,187,37.0
1784188989.7657943,214,27.0
1784188989.766796,229,15.0
1784188989.7677708,242,13.0
1784188989.7687652,265,23.0
1784188989.76976,275,10.0
1784188989.77177,304,29.0
1784188989.7737675,322,18.0
1784188989.7757723,333,11.0
1784188989.7767386,344,11.0
1784188989.778749,390,46.0
1784188989.7797518,401,11.0
1784188989.7836585,433,32.0
1784188989.7866492,480,47.0
1784188989.7876544,496,16.0
1784188989.7896411,522,26.0
1784188989.7926295,556,34.0
1784188989.7946355,572,16.0
1784188989.7956192,591,19.0
1784188989.7976136,613,22.0
1784188989.799606,637,24.0
1784188989.8006153,652,15.0
1784188989.8564165,664,12.0
1784188989.85841,681,17.0
1784188989.859407,694,13.0
1784188989.8613994,724,30.0
1784188989.8613994,740,16.0
1784188989.8643997,792,52.0
1784188989.8653865,804,12.0
1784188989.866383,817,13.0
1784188989.8693726,864,47.0
1784188989.8703783,881,17.0
1784188989.8733606,918,37.0
1784188989.8793485,959,17.0
1784188989.8803363,982,23.0
1784188989.8823297,1014,32.0
1784188989.8843226,1040,26.0
1784188989.8853195,1065,25.0
1784188989.8863163,1085,20.0
1784188989.887313,1098,13.0
1784188989.88832,1109,11.0
1784188989.8893065,1123,14.0
1784188989.8913007,1135,12.0
1784188989.8923068,1150,15.0
1784188989.8952866,1181,31.0
1784188989.8962922,1207,26.0
1784188989.8972797,1219,12.0
1784188989.8982763,1234,15.0
1784188989.9002695,1247,13.0
1784188989.901266,1259,12.0
1784188989.9032598,1293,34.0
1784188989.9042563,1317,24.0
1784188989.9052646,1327,10.0
1784188989.9092412,1342,15.0
1784188989.911233,1355,13.0
1784188989.9132404,1371,16.0
1784188989.9152198,1384,13.0
1784188989.9172924,1421,37.0
1784188989.9202344,1452,31.0
1784188989.9212732,1480,28.0
1784188989.9261832,1517,37.0
1784188989.9281762,1537,20.0
1784188989.9291732,1551,14.0
1784188989.930183,1584,33.0
1784188989.9311662,1597,13.0
1784188989.9321709,1616,19.0
1784188989.934165,1631,15.0
1784188989.9361591,1664,33.0
1784188989.9381428,1685,21.0
1784188989.9411335,1699,14.0
1784188989.9421396,1741,42.0
1784188989.9441319,1758,17.0
1784188989.9451282,1780,22.0
1784188989.947113,1805,25.0
1784188989.9481096,1816,11.0
1784188989.9491146,1828,12.0
1784188989.950111,1849,21.0
1784188989.9520965,1864,15.0
1784188989.9541008,1903,39.0
1784188989.9560835,1935,32.0
1784188989.958078,1951,16.0
1784188989.961076,1968,17.0
1784188989.9630597,1989,21.0
1784188989.964056,2024,35.0
1784188989.9660566,2037,13.0
1784188989.9660566,2049,12.0
1784188989.9670463,2069,20.0
1784188989.9680429,2083,14.0
1784188989.9700394,2102,19.0
1784188989.97801,2127,25.0
1784188989.9790072,2142,15.0
1784188989.980003,2155,13.0
1784188989.9839911,2191,36.0
1784188989.9859834,2205,14.0
