Wall time,Step,Value
1784279916.0305371,32,22.0
1784279916.0325298,71,20.0
1784279916.0345256,101,17.0
1784279916.0355203,116,15.0
1784279916.0385103,153,16.0
1784279916.0424974,177,12.0
1784279916.0454867,227,50.0
1784279916.0474808,243,16.0
1784279916.0484772,259,16.0
1784279916.0494738,273,14.0
1784279916.0524635,302,29.0
1784279916.2930596,325,23.0
1784279916.295053,348,23.0
1784279916.2960496,376,28.0
1784279916.2990406,401,25.0
1784279916.3000367,416,15.0
1784279916.3030267,457,12.0
1784279916.3050203,489,18.0
1784279916.306017,500,11.0
1784279916.3109999,562,30.0
1784279916.3169796,626,23.0
1784279916.3209665,650,24.0
1784279916.3249533,669,19.0
1784279916.3259504,684,15.0
1784279916.32894,725,41.0
1784279916.3339236,771,26.0
1784279916.3389063,834,24.0
1784279916.3418963,855,21.0
1784279916.3478768,899,12.0
1784279916.3498704,922,23.0
1784279916.3518639,946,24.0
1784279916.3548534,989,43.0
1784279916.3588398,1028,39.0
1784279916.3588398,1039,11.0
1784279916.366813,1102,44.0
1784279916.369803,1122,20.0
1784279916.3799937,1235,31.0
1784279916.384976,1283,48.0
1784279916.3879657,1301,18.0
1784279916.3879657,1313,12.0
1784279916.3899593,1323,10.0
1784279916.3979342,1376,15.0
1784279916.4019198,1404,28.0
1784279916.4039135,1418,14.0
1784279916.4059067,1436,18.0
1784279916.4069028,1456,20.0
1784279916.4118867,1474,18.0
1784279916.41388,1501,27.0
1784279916.4158976,1521,20.0
1784279916.417889,1532,11.0
1784279916.418886,1581,49.0
1784279916.4238696,1668,63.0
1784279916.4258626,1695,27.0
1784279916.4268594,1706,11.0
1784279916.4298494,1719,13.0
1784279916.432839,1745,12.0
1784279916.4358287,1793,11.0
1784279916.4368258,1827,34.0
1784279916.4398158,1874,25.0
1784279916.4408123,1894,20.0
1784279916.4448066,1938,16.0
1784279916.4467926,1961,23.0
1784279916.447789,1983,22.0
1784279916.4497828,2018,35.0
1784279916.4497828,2031,13.0
1784279916.4513934,2048,17.0
1784279916.454384,2082,9.0
1784279916.4553742,2093,11.0
1784279916.4563713,2115,22.0
1784279916.4593618,2137,22.0
1784279916.461355,2166,14.0
1784279916.468331,2261,35.0
1784279916.4703243,2302,41.0
1784279916.472318,2331,29.0
1784279916.4733148,2344,13.0
1784279916.476304,2390,24.0
1784279916.4782982,2407,17.0
1784279916.4802933,2423,16.0
1784279916.4862711,2508,49.0
1784279916.4872677,2519,11.0
1784279916.4922512,2563,10.0
1784279916.4972343,2632,16.0
1784279916.5002258,2644,12.0
1784279916.5012228,2658,14.0
1784279916.5032148,2683,25.0
1784279916.5052083,2713,30.0
1784279916.5111883,2783,19.0
1784279916.5131845,2802,19.0
1784279916.514179,2821,19.0
1784279916.5151746,2835,14.0
1784279916.5181644,2898,63.0
1784279916.522151,2957,31.0
1784279916.5251503,3000,43.0
1784279916.5321186,3092,28.0
1784279916.537102,3149,16.0
1784279916.5390947,3167,18.0
1784279916.5420845,3220,29.0
1784279916.5470686,3259,15.0
1784279916.549061,3277,18.0
1784279916.549061,3291,14.0
1784279916.551054,3314,23.0
1784279916.5530472,3335,21.0
1784279916.5540445,3348,13.0
1784279916.5570345,3381,22.0
1784279916.5570345,3393,12.0
1784279916.558031,3409,16.0
1784279916.5610254,3424,15.0
1784279916.566006,3467,11.0
1784279916.566006,3479,12.0
1784279916.5679984,3498,19.0
1784279916.5719852,3559,29.0
1784279916.5759728,3589,30.0
1784279916.5829473,3633,44.0
1784279916.5859377,3660,14.0
1784279916.5869346,3671,11.0
1784279916.5919173,3712,16.0
1784279916.5929139,3729,17.0
1784279916.598894,3762,17.0
1784279916.601884,3776,14.0
1784279916.6028807,3799,23.0
1784279916.6128497,3857,30.0
1784279916.614842,3878,21.0
1784279916.623811,3979,58.0
1784279916.6273184,4029,50.0
1784279916.6313038,4063,34.0
1784279916.6362894,4107,44.0
1784279916.642269,4158,30.0
1784279916.6442635,4181,23.0
1784279916.6492448,4224,21.0
1784279916.652861,4255,17.0
1784279916.6538582,4266,11.0
1784279916.6558516,4282,16.0
1784279916.658843,4309,27.0
1784279916.6628296,4350,19.0
1784279916.663826,4366,16.0
1784279916.670802,4417,15.0
1784279916.682762,4532,26.0
1784279916.6837597,4545,13.0
1784279916.689739,4593,14.0
1784279916.6907353,4616,23.0
1784279916.6957183,4643,12.0
1784279916.7036917,4676,33.0
1784279916.7076778,4720,44.0
1784279916.7156508,4765,45.0
1784279916.718641,4783,18.0
1784279916.7286086,4831,18.0
1784279916.7325976,4855,24.0
1784279916.7345889,4872,17.0
1784279916.737578,4888,16.0
1784279916.7495399,4999,84.0
1784279916.7525299,5015,16.0
1784279916.7545216,5034,19.0
1784279916.7555182,5044,10.0
1784279916.7565157,5055,11.0
1784279916.760508,5072,17.0
1784279916.7654853,5101,20.0
1784279916.76748,5128,27.0
1784279916.7694716,5139,11.0
1784279916.772467,5168,14.0
1784279916.7744565,5179,11.0
1784279916.776448,5194,15.0
1784279916.7784483,5214,20.0
1784279916.7804346,5230,16.0
1784279916.7824292,5251,21.0
1784279916.7874112,5318,67.0
1784279916.79439,5358,15.0
