algorithm,label,seeds,episodes_mean,episodes_std,episodes_count,overall_mean_return_mean,overall_mean_return_std,overall_mean_return_count,final20_mean_return_mean,final20_mean_return_std,final20_mean_return_count,final100_mean_return_mean,final100_mean_return_std,final100_mean_return_count,normalized_auc_return_mean,normalized_auc_return_std,normalized_auc_return_count,solve_step_100ep_at_475_mean,solve_step_100ep_at_475_std,solve_step_100ep_at_475_count,max_return_mean,max_return_std,max_return_count
ppo,PPO,5,1514.2,10.256705123966467,5,329.34132275894495,2.337655985302999,5,491.68,12.049616176459738,5,489.8,8.361988399896287,5,412.7525733573408,1.7732546018313875,5,232616.0,8896.687923041924,5,500.0,0.0,5
ppo_uniform_replay_ablation,PPO + uniform replay,5,1625.2,51.4800932400088,5,307.00573941288775,9.719065243799959,5,485.13,10.071717827659784,5,488.3080000000001,9.500003684209815,5,417.54897355387556,4.321980557368611,5,227296.0,24847.787990080727,5,500.0,0.0,5
ppo_prioritized_replay_ablation,PPO + prioritized replay,5,1601.0,29.180472922829747,5,311.6623490134207,5.648492355843812,5,492.0,5.107714753194426,5,485.51800000000003,4.786697191174712,5,418.1673177525525,4.574398377940531,5,243816.0,36564.43463257705,5,500.0,0.0,5
